,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,3675.6896462115983
Lateral-ventricle-excluding-temporal-horn-L,2732.2816347511944
Third-ventricle,2466.8515144435837
corpus-callosum,2335.516431792745
thalamus-R,2223.9612384653133
caudate-nucleus-R,2156.1350279952267
caudate-nucleus-L,1996.1644194148666
CG-posterior-cingulate-gyrus-R,1965.9523089488582
CG-anterior-cingulate-gyrus-R,1840.7938299368143
CG-anterior-cingulate-gyrus-L,1837.5979488647056
cerebellum-R,1660.6375633359942
CG-posterior-cingulate-gyrus-L,1574.6609477191969
pallidum-R,1491.0380080922914
insula-anterior-long-gyrus-R,1441.2996976290285
pallidum-L,1356.7742058138542
thalamus-L,1355.5617144665243
cerebellum-L,1249.9325297730527
insula-middle-short-gyrus-L,1186.4640734070563
insula-posterior-short-gyrus-R,1153.7119119434112
insula-middle-short-gyrus-R,1078.4592655082558
insula-posterior-short-gyrus-L,998.1355614005843
insula-posterior-long-gyrus-R,986.3647974068996
brainstem-excluding-substantia-nigra,980.721335448503
putamen-R,941.9723585309243
OL-lingual-gyrus-R,884.6776386424868
substantia-nigra-L,872.093485998729
substantia-nigra-R,869.6519155747997
putamen-L,862.4395041546242
FL-subcallosal-area-R,752.2119655294732
OL-lingual-gyrus-L,729.3464725912032
FL-subcallosal-area-L,696.8767487890926
Lateral-ventricle-temporal-horn-R,692.7468273248087
insula-anterior-short-gyrus-L,634.7087798940548
insula-anterior-long-gyrus-L,623.416150845102
FL-precentral-gyrus-R,554.8080176960199
insula-anterior-short-gyrus-R,506.2995469300419
nucleus-accumbens-L,474.619194781194
nucleus-accumbens-R,467.3374632251653
TL-hippocampus-R,427.51847172437766
FL-superior-frontal-gyrus-L,381.95480757917966
TL-parahippocampal-and-ambient-gyrus-R,361.5933686754119
PL-postcentral-gyrus-R,321.36160440792236
insula-anterior-inferior-cortex-R,288.55902703109933
FL-precentral-gyrus-L,257.15799952077623
insula-anterior-inferior-cortex-L,231.8263219071692
FL-superior-frontal-gyrus-R,219.60439898083004
TL-amygdala-L,162.10312587855617
TL-fusiform-gyrus-R,153.06560246186027
insula-posterior-long-gyrus-L,149.48469838176462
TL-hippocampus-L,148.25869010700058
TL-amygdala-R,131.60208876309414
FL-middle-frontal-gyrus-L,130.818966005182
TL-superior-temporal-gyrus-middle-part-R,51.18817253087077
FL-subgenual-frontal-cortex-R,46.400701740602756
TL-posterior-temporal-lobe-R,14.459741233885854
Lateral-ventricle-temporal-horn-L,1.697118397780827
TL-parahippocampal-and-ambient-gyrus-L,-12.980708304524748
FL-subgenual-frontal-cortex-L,-28.72113901584828
FL-middle-frontal-gyrus-R,-58.93794394316142
FL-inferior-frontal-gyrus-L,-117.97501757612983
FL-inferior-frontal-gyrus-R,-135.9998339481177
FL-pre-subgenual-frontal-cortex-R,-216.82049142818192
FL-posterior-orbital-gyrus-R,-226.01812958220253
PL-postcentral-gyrus-L,-265.80010242606954
FL-pre-subgenual-frontal-cortex-L,-290.1066303405125
PL-supramarginal-gyrus-R,-324.36090235658673
TL-middle-and-inferior-temporal-gyrus-R,-361.9908222067473
PL-superior-parietal-gyrus-R,-377.86059338638995
FL-posterior-orbital-gyrus-L,-411.843649701343
FL-straight-gyrus-L,-481.41847171875486
OL-cuneus-R,-484.6051493204609
FL-straight-gyrus-R,-490.08526456394384
OL-lateral-remainder-occipital-lobe-L,-494.8675784316187
OL-cuneus-L,-503.362984728743
OL-lateral-remainder-occipital-lobe-R,-513.1347846511742
TL-superior-temporal-gyrus-anterior-part-R,-548.6310565519544
TL-anterior-temporal-lobe-medial-part-R,-560.7971000693226
TL-fusiform-gyrus-L,-575.6603969802443
TL-posterior-temporal-lobe-L,-590.6306804202239
TL-superior-temporal-gyrus-middle-part-L,-603.368657810825
FL-anterior-orbital-gyrus-R,-654.843656107384
FL-lateral-orbital-gyrus-R,-655.5341620963326
FL-medial-orbital-gyrus-R,-696.7906463664111
TL-anterior-temporal-lobe-lateral-part-R,-707.0889711102236
FL-medial-orbital-gyrus-L,-789.1314680861667
PL-superior-parietal-gyrus-L,-804.2675174007738
TL-superior-temporal-gyrus-anterior-part-L,-870.4226529922003
TL-anterior-temporal-lobe-medial-part-L,-874.4096921396003
TL-middle-and-inferior-temporal-gyrus-L,-880.2788344451592
PL-supramarginal-gyrus-L,-913.3796648407081
FL-anterior-orbital-gyrus-L,-920.5805670673728
FL-lateral-orbital-gyrus-L,-1006.7583966931387
PL-angular-gyrus-R,-1028.3653217637761
TL-anterior-temporal-lobe-lateral-part-L,-1151.8230081624
PL-angular-gyrus-L,-1253.0342043209052
