Region,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,5720.484008999707
Lateral-ventricle-excluding-temporal-horn-L,4737.893016321699
corpus-callosum,3758.043118556085
caudate-nucleus-L,3640.3470888108886
CG-posterior-cingulate-gyrus-R,3466.726469455403
thalamus-R,3395.592685396815
CG-anterior-cingulate-gyrus-L,3378.041150968369
Third-ventricle,3172.2118682109663
CG-anterior-cingulate-gyrus-R,3143.2478963099347
caudate-nucleus-R,3015.6388249215934
CG-posterior-cingulate-gyrus-L,2900.211383821902
cerebellum-R,2886.412242947881
brainstem-excluding-substantia-nigra,2866.3590106536467
pallidum-L,2344.894270647923
thalamus-L,2236.8803090878623
insula-middle-short-gyrus-L,2231.8648973262166
insula-posterior-short-gyrus-L,2109.466451139596
insula-anterior-long-gyrus-R,2076.3258787537757
pallidum-R,1760.3155733062688
putamen-L,1638.5534893505023
cerebellum-L,1611.0870344523257
TL-parahippocampal-and-ambient-gyrus-R,1511.4793411962376
substantia-nigra-R,1509.0576126849064
OL-lingual-gyrus-R,1435.1914562545044
insula-posterior-short-gyrus-R,1434.9108154215892
substantia-nigra-L,1415.8961515015756
insula-anterior-long-gyrus-L,1260.434936644092
insula-posterior-long-gyrus-R,1224.2779057560278
TL-hippocampus-R,1192.095765682938
insula-anterior-short-gyrus-L,1175.9194229555972
Lateral-ventricle-temporal-horn-R,1154.5550934178868
TL-fusiform-gyrus-R,1125.322851493224
putamen-R,1093.030378260437
insula-middle-short-gyrus-R,1077.4053461771462
FL-subcallosal-area-R,877.3636519843405
FL-subcallosal-area-L,777.7369320916541
OL-lingual-gyrus-L,750.0432618715573
FL-precentral-gyrus-R,733.27386780214
nucleus-accumbens-L,726.3197160627021
FL-superior-frontal-gyrus-L,602.1595870126234
FL-precentral-gyrus-L,546.754335605661
nucleus-accumbens-R,524.820966091204
insula-anterior-inferior-cortex-L,474.4497905672223
PL-postcentral-gyrus-R,414.2284154675236
FL-superior-frontal-gyrus-R,301.64530965569696
TL-posterior-temporal-lobe-R,292.68743600167016
insula-anterior-inferior-cortex-R,220.31727756876657
TL-amygdala-R,170.04748498774498
FL-middle-frontal-gyrus-L,158.1762655064549
TL-parahippocampal-and-ambient-gyrus-L,63.436330267101745
insula-anterior-short-gyrus-R,54.42520550250685
TL-middle-and-inferior-temporal-gyrus-R,-2.511816980669758
TL-hippocampus-L,-27.47835920404668
FL-inferior-frontal-gyrus-L,-73.12751560586163
TL-superior-temporal-gyrus-middle-part-R,-109.83871364179655
TL-amygdala-L,-164.56991613654387
insula-posterior-long-gyrus-L,-225.29354737410296
PL-postcentral-gyrus-L,-406.0324381290967
TL-anterior-temporal-lobe-lateral-part-R,-421.7365876490395
TL-anterior-temporal-lobe-medial-part-R,-443.36569160650424
FL-middle-frontal-gyrus-R,-468.95108134976283
Lateral-ventricle-temporal-horn-L,-492.63636682412454
FL-subgenual-frontal-cortex-R,-495.05175153080404
PL-supramarginal-gyrus-R,-580.6295831866801
FL-subgenual-frontal-cortex-L,-601.7786845170066
PL-superior-parietal-gyrus-R,-675.9515761135385
FL-posterior-orbital-gyrus-R,-699.6005233853825
FL-pre-subgenual-frontal-cortex-R,-711.6814292412835
FL-posterior-orbital-gyrus-L,-773.1380573707346
TL-fusiform-gyrus-L,-785.7396198745436
FL-pre-subgenual-frontal-cortex-L,-789.9068042675715
FL-anterior-orbital-gyrus-R,-823.5018696932653
FL-inferior-frontal-gyrus-R,-837.3673753178614
FL-medial-orbital-gyrus-R,-859.3920069106148
TL-superior-temporal-gyrus-anterior-part-R,-889.0409692634729
FL-straight-gyrus-R,-1006.1236615073091
TL-posterior-temporal-lobe-L,-1034.686331287897
TL-middle-and-inferior-temporal-gyrus-L,-1118.679886681879
FL-straight-gyrus-L,-1121.014473424011
FL-lateral-orbital-gyrus-R,-1124.2390038551855
TL-superior-temporal-gyrus-middle-part-L,-1174.2518227059604
OL-lateral-remainder-occipital-lobe-R,-1194.9961994650275
FL-medial-orbital-gyrus-L,-1228.126147064572
OL-cuneus-R,-1229.9009525663353
TL-anterior-temporal-lobe-medial-part-L,-1233.350717590507
TL-anterior-temporal-lobe-lateral-part-L,-1304.8426287741497
FL-anterior-orbital-gyrus-L,-1395.2280756851644
OL-cuneus-L,-1408.5988634132373
TL-superior-temporal-gyrus-anterior-part-L,-1450.7614346926593
PL-superior-parietal-gyrus-L,-1461.974160111186
OL-lateral-remainder-occipital-lobe-L,-1475.366385763778
PL-supramarginal-gyrus-L,-1571.1490575925798
FL-lateral-orbital-gyrus-L,-1601.631765451097
PL-angular-gyrus-R,-1629.7790798154333
PL-angular-gyrus-L,-2142.994986437918
